PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
13.57, 0.90, 29.92,-0.01881, 0.93904, 0.02878, 0.34208,13.31563,
13.57, 0.90, 29.92,-0.01905, 0.93908, 0.02840, 0.34198,13.66475,
13.57, 0.90, 29.92,-0.01901, 0.93906, 0.02855, 0.34202,14.01042,
13.57, 0.90, 29.92,-0.01873, 0.93898, 0.02840, 0.34229,14.35379,
13.57, 0.90, 29.92,-0.01853, 0.93903, 0.02856, 0.34215,14.69804,
13.58, 0.92, 29.93,0.15740, 0.90830, 0.07169, 0.38088,15.03909,
13.53, 0.96, 29.91,0.49034, 0.78115, -0.11811, 0.36801,15.38346,
13.52, 1.01, 29.88,0.55693, 0.74312, -0.22141, 0.29763,15.73145,
13.53, 1.17, 29.86,0.52078, 0.71480, -0.32021, 0.33959,16.07444,
13.55, 1.30, 29.72,0.46527, 0.70626, -0.46500, 0.26170,16.41924,
13.58, 1.32, 29.55,0.47074, 0.75386, -0.41470, 0.19526,16.76284,
13.51, 1.32, 29.51,0.56453, 0.67248, -0.39111, 0.27587,17.10882,
13.47, 1.30, 29.52,0.59346, 0.65807, -0.32048, 0.33473,17.44899,
13.50, 1.31, 29.49,0.61817, 0.60355, -0.30954, 0.39720,17.79674,
13.59, 1.33, 29.40,0.61539, 0.61643, -0.23630, 0.43068,18.14121,
13.62, 1.34, 29.35,0.61456, 0.59752, -0.26963, 0.43885,18.48455,
13.69, 1.37, 29.27,0.52733, 0.65588, -0.37628, 0.38749,18.82961,
13.75, 1.39, 29.14,0.49193, 0.69106, -0.40590, 0.34013,19.17364,
13.78, 1.36, 29.08,0.57011, 0.62244, -0.29114, 0.45032,19.51804,
13.86, 1.32, 28.99,-0.54038, -0.64602, 0.11054, -0.52767,19.86226,
13.93, 1.28, 28.89,-0.36422, -0.73654, -0.02084, -0.56957,20.20311,
14.07, 1.23, 28.75,0.30393, 0.84950, 0.09254, 0.42120,20.55,
14.15, 1.23, 28.71,0.47933, 0.82962, 0.02718, 0.28501,20.89492,
14.24, 1.22, 28.64,0.49046, 0.79500, 0.06671, 0.35068,21.23923,
14.27, 1.24, 28.56,0.49683, 0.74949, -0.01937, 0.43710,21.58353,
14.25, 1.25, 28.47,-0.42275, -0.69977, 0.02716, -0.57521,21.92697,
14.18, 1.27, 28.26,-0.24071, -0.55292, -0.02921, -0.79717,22.27191,
14.16, 1.26, 27.96,-0.17773, -0.26527, -0.09635, -0.94274,22.61515,
14.19, 1.25, 27.65,-0.13224, 0.11167, -0.17468, -0.96929,22.96043,
14.32, 1.24, 27.37,-0.06615, 0.34282, -0.17011, -0.92150,23.30397,
14.41, 1.24, 27.11,-0.04917, 0.28247, -0.12521, -0.94980,23.6495,
14.59, 1.24, 26.82,-0.03005, 0.31705, -0.13333, -0.93851,24.03608,
14.77, 1.24, 26.56,-0.09392, 0.26010, -0.12823, -0.95241,24.38875,
14.89, 1.23, 26.30,-0.11650, 0.18789, -0.10820, -0.96924,24.73999,
15.01, 1.24, 26.10,-0.09546, 0.21594, -0.09034, -0.96752,25.09243,
15.11, 1.22, 25.95,-0.07613, 0.17384, -0.06569, -0.97963,25.44122,
15.15, 1.22, 25.91,-0.06029, 0.16121, -0.04589, -0.98401,25.79238,
15.18, 1.21, 25.84,-0.19325, 0.03872, 0.01399, -0.98029,26.16979,
15.25, 1.20, 25.58,-0.68664, -0.09287, -0.12357, -0.71038,26.92704,
15.23, 1.23, 25.55,-0.72547, -0.09247, -0.08769, -0.67635,27.40775,
15.22, 1.30, 25.52,-0.74236, -0.09681, -0.04258, -0.66160,27.75808,
15.21, 1.43, 25.49,-0.63051, -0.05369, -0.04094, -0.77324,28.10143,
15.18, 1.48, 25.45,-0.58576, -0.04349, -0.03917, -0.80837,28.44624,
15.17, 1.49, 25.44,-0.48242, -0.03506, -0.04428, -0.87412,28.79136,
15.17, 1.49, 25.43,-0.39234, -0.01422, -0.03652, -0.91899,29.13422,
15.17, 1.48, 25.40,-0.38793, 0.04050, -0.03690, -0.92006,29.47883,
15.17, 1.51, 25.41,-0.24541, 0.04502, -0.05380, -0.96688,29.82324,
15.17, 1.54, 25.40,-0.15472, 0.05878, -0.04890, -0.98500,30.17345,
15.17, 1.56, 25.38,-0.14210, 0.05828, -0.06056, -0.98628,30.51237,
15.16, 1.56, 25.36,-0.15212, 0.09550, -0.04836, -0.98255,30.85718,
15.16, 1.56, 25.35,-0.16939, 0.10406, -0.05685, -0.97839,31.20254,
15.17, 1.56, 25.34,-0.15984, 0.09236, -0.04504, -0.98178,31.54581,
15.16, 1.56, 25.34,-0.17209, 0.14347, -0.06504, -0.97240,31.88992,
15.15, 1.56, 25.34,-0.17212, 0.17204, -0.04114, -0.96906,32.23377,
15.15, 1.58, 25.35,-0.08990, 0.15642, -0.04182, -0.98270,32.57862,
15.15, 1.57, 25.36,-0.12415, 0.15583, -0.04230, -0.97904,32.92299,
15.14, 1.57, 25.34,-0.13383, 0.23280, -0.04176, -0.96237,33.26678,
15.15, 1.57, 25.34,-0.13001, 0.19085, -0.03747, -0.97225,33.61087,
