PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
13.43, 0.84, 28.58,-0.61200, 0.02460, 0.39998, -0.68181,12.91392,
13.43, 0.83, 28.58,-0.61438, 0.00136, 0.39068, -0.68550,13.26172,
13.40, 0.84, 28.58,-0.59224, -0.03366, 0.40911, -0.69335,13.60326,
13.36, 0.83, 28.60,-0.55630, -0.10983, 0.46428, -0.68037,13.95916,
13.31, 0.82, 28.61,-0.50421, -0.15990, 0.45934, -0.71359,14.31436,
13.30, 0.79, 28.60,-0.49362, -0.20503, 0.35248, -0.76816,14.6708,
13.25, 0.78, 28.59,-0.46619, -0.21439, 0.28565, -0.80939,15.02539,
13.19, 0.76, 28.57,-0.47510, -0.25343, 0.18859, -0.82127,15.38023,
13.12, 0.75, 28.55,-0.42914, -0.28625, 0.15142, -0.84319,15.73959,
13.05, 0.90, 28.55,-0.34021, -0.32293, 0.26798, -0.84152,16.07955,
12.96, 1.09, 28.54,-0.33410, -0.38526, 0.37011, -0.77651,16.43583,
13.01, 1.12, 28.48,-0.17354, -0.70525, 0.42968, -0.53655,16.78027,
13.19, 1.13, 28.39,-0.00366, 0.93763, -0.29692, 0.18076,17.14927,
13.35, 1.14, 28.24,-0.12197, 0.92846, -0.33334, -0.10942,17.49488,
13.65, 1.13, 27.91,-0.21479, 0.86383, -0.39079, -0.23439,17.85095,
13.79, 1.12, 27.66,-0.14442, 0.76576, -0.40258, -0.48030,18.20435,
14.13, 1.02, 27.18,-0.49105, 0.38401, -0.01552, -0.78177,18.71011,
14.35, 1.26, 26.70,-0.33024, 0.72161, -0.13659, -0.59293,19.3407,
14.44, 1.23, 26.36,-0.46070, 0.51439, 0.02591, -0.72283,19.75632,
14.42, 1.23, 26.09,-0.51013, 0.48547, 0.13645, -0.69676,20.1011,
14.44, 1.20, 25.90,-0.50904, 0.42143, 0.14826, -0.73573,20.45791,
14.47, 1.19, 25.68,-0.46202, 0.35461, 0.17307, -0.79425,20.9421,
14.49, 1.20, 25.54,-0.45545, 0.40293, 0.14085, -0.78126,21.32036,
14.63, 1.20, 25.48,-0.42264, 0.36123, -0.07687, -0.82763,21.81092,
14.71, 1.19, 25.50,-0.36569, 0.29337, -0.11902, -0.87524,22.16471,
14.72, 1.19, 25.51,-0.35351, 0.29363, -0.10534, -0.88188,25.14676,
14.72, 1.19, 25.51,-0.35351, 0.29363, -0.10534, -0.88188,26.00636,
14.86, 1.65, 25.12,-0.39171, 0.12936, -0.12544, -0.90227,26.70224,
14.91, 1.73, 24.98,-0.23361, 0.16519, -0.05821, -0.95643,27.1583,
14.92, 1.75, 24.95,-0.14930, 0.13920, -0.03503, -0.97832,27.50244,
14.92, 1.76, 24.95,-0.05431, 0.13426, -0.01730, -0.98931,27.84649,
14.90, 1.77, 24.96,-0.04484, 0.15302, -0.01396, -0.98711,28.19021,
14.91, 1.71, 24.94,0.01829, 0.20476, 0.08251, -0.97516,28.5356,
14.94, 1.69, 24.92,0.00770, 0.20095, 0.00229, -0.97957,28.92038,
14.95, 1.67, 24.90,-0.00835, 0.13867, -0.08350, -0.98678,29.26462,
14.96, 1.66, 24.89,0.00686, 0.16109, -0.03458, -0.98631,29.61148,
14.96, 1.65, 24.89,-0.03993, 0.20938, -0.02014, -0.97681,29.95572,
14.97, 1.65, 24.89,-0.06979, 0.20095, 0.00024, -0.97711,30.33998,
14.97, 1.64, 24.89,-0.07992, 0.19211, -0.01691, -0.97797,30.68479,
14.96, 1.65, 24.91,-0.09866, 0.21789, 0.01551, -0.97085,31.03414,
14.96, 1.64, 24.90,-0.11930, 0.15686, -0.00605, -0.98037,31.37755,
14.95, 1.64, 24.89,-0.12188, 0.28297, -0.01918, -0.95116,31.72221,
14.95, 1.64, 24.89,-0.11745, 0.28301, -0.00386, -0.95189,32.06655,
14.96, 1.65, 24.89,-0.07617, 0.26362, -0.01298, -0.96153,32.41032,
14.96, 1.66, 24.91,-0.03312, 0.22167, 0.04745, -0.97340,32.75554,
14.94, 1.64, 24.91,-0.11359, 0.31778, 0.02684, -0.94095,33.09969,
14.93, 1.64, 24.90,-0.09162, 0.31133, 0.01027, -0.94582,33.4441,
14.94, 1.65, 24.91,-0.06186, 0.26079, 0.00838, -0.96338,33.78761,
14.93, 1.65, 24.91,-0.05638, 0.26396, 0.00628, -0.96287,34.13269,
14.95, 1.65, 24.92,-0.06567, 0.18386, 0.00404, -0.98075,34.47699,
14.93, 1.65, 24.91,-0.07297, 0.27546, -0.02655, -0.95817,34.81985,
14.94, 1.65, 24.91,-0.07938, 0.26278, -0.02670, -0.96121,35.1641,
