PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
13.38, 0.71, 30.50,0.01505, 0.99671, 0.05232, -0.05998,10.5905,
13.38, 0.71, 30.50,0.01494, 0.99671, 0.05234, -0.06004,10.93939,
13.38, 0.71, 30.50,0.01514, 0.99671, 0.05233, -0.05995,11.2841,
13.38, 0.71, 30.50,0.01464, 0.99674, 0.05246, -0.05952,11.62795,
13.38, 0.71, 30.50,0.01504, 0.99678, 0.05199, -0.05911,11.97244,
13.37, 0.72, 30.48,0.00898, 0.99723, 0.05314, -0.05131,12.31668,
13.37, 0.72, 30.47,0.00757, 0.99726, 0.05062, -0.05335,12.66115,
13.37, 0.72, 30.47,0.00609, 0.99735, 0.04796, -0.05432,13.00557,
13.37, 0.73, 30.46,0.00598, 0.99878, 0.03844, -0.03046,13.34995,
13.36, 0.74, 30.45,0.01498, 0.99922, -0.03609, -0.00587,13.69286,
13.36, 0.79, 30.44,0.02017, 0.99589, -0.06725, -0.05725,14.0383,
13.36, 0.85, 30.44,0.03946, 0.99256, -0.11013, -0.03379,14.38238,
13.38, 0.88, 30.45,0.02731, 0.99375, -0.10561, 0.02354,14.72555,
13.39, 0.91, 30.46,0.02182, 0.98958, -0.13589, 0.04225,15.07127,
13.40, 0.91, 30.47,0.03200, 0.99019, -0.12739, 0.04768,15.41483,
13.41, 0.92, 30.47,0.02349, 0.98909, -0.13277, 0.05931,15.75845,
13.42, 0.94, 30.46,0.02975, 0.98642, -0.15240, 0.05351,16.10364,
13.43, 1.00, 30.42,0.00580, 0.98338, -0.17870, 0.03167,16.44864,
13.46, 1.03, 30.32,-0.01023, 0.97877, -0.19385, -0.06580,16.79259,
13.55, 0.99, 30.13,0.02601, 0.95322, -0.16470, -0.25212,17.13512,
13.72, 0.94, 29.81,-0.00760, 0.83479, -0.16960, -0.52373,17.48039,
13.90, 0.90, 29.36,-0.06408, 0.69001, -0.07575, -0.71697,17.82475,
14.06, 0.87, 28.93,-0.06516, 0.50841, -0.09522, -0.85335,18.16947,
14.16, 0.89, 28.46,-0.09263, 0.32056, -0.06296, -0.94058,18.51308,
14.22, 0.92, 27.97,-0.10509, 0.25578, -0.05650, -0.95934,18.85659,
14.31, 0.95, 27.50,-0.11730, 0.20732, -0.03144, -0.97071,19.20233,
14.44, 0.95, 27.05,-0.10871, 0.14993, -0.04399, -0.98172,19.5468,
14.55, 0.95, 26.65,-0.11531, 0.12091, -0.06330, -0.98391,19.89066,
14.64, 0.99, 26.28,-0.14384, 0.13897, -0.05148, -0.97844,20.23969,
14.76, 1.00, 25.97,-0.14932, 0.11751, -0.05398, -0.98030,20.59345,
14.89, 1.02, 25.65,-0.19407, 0.08466, -0.07106, -0.97474,21.0452,
14.91, 1.03, 25.59,-0.12638, 0.12500, -0.07153, -0.98147,21.40788,
14.93, 1.06, 25.48,-0.24523, 0.05029, -0.07395, -0.96533,21.76313,
14.94, 1.15, 25.31,-0.50600, -0.01087, -0.08176, -0.85858,22.11149,
14.93, 1.28, 25.19,-0.54185, -0.01018, -0.06308, -0.83804,22.46752,
14.92, 1.38, 25.14,-0.40007, -0.00978, -0.04181, -0.91548,22.81136,
14.92, 1.45, 25.11,-0.26196, -0.02091, -0.02831, -0.96444,23.15644,
14.94, 1.44, 25.08,-0.26283, -0.00949, -0.03445, -0.96418,23.49977,
14.93, 1.43, 25.08,-0.16692, 0.00067, -0.01718, -0.98582,23.84473,
14.93, 1.43, 25.07,-0.12990, 0.01652, 0.00826, -0.99136,24.18902,
14.92, 1.44, 25.04,-0.08124, 0.06156, 0.02223, -0.99454,24.53184,
14.92, 1.46, 25.03,-0.02794, 0.07826, 0.02344, -0.99627,24.87757,
14.92, 1.44, 25.02,-0.15754, 0.05785, 0.02258, -0.98556,25.22083,
14.92, 1.45, 25.02,-0.16420, 0.05909, 0.02911, -0.98423,25.56567,
14.92, 1.44, 25.03,-0.17499, 0.05241, 0.03438, -0.98257,25.90975,
14.92, 1.45, 25.03,-0.11499, 0.04862, 0.01698, -0.99203,26.25378,
14.93, 1.46, 25.03,-0.11620, 0.02707, 0.04165, -0.99198,26.5976,
14.92, 1.46, 25.02,-0.15181, 0.02742, 0.03748, -0.98732,26.9417,
14.92, 1.46, 25.02,-0.15368, 0.02755, 0.04272, -0.98681,27.2864,
14.92, 1.45, 25.03,-0.15740, 0.02139, 0.03399, -0.98672,27.63071,
14.92, 1.45, 25.03,-0.15757, 0.00654, 0.03330, -0.98693,27.97512,
14.91, 1.46, 25.02,-0.15546, 0.02148, 0.04021, -0.98679,28.31886,
14.90, 1.47, 25.01,-0.13447, 0.02923, 0.03780, -0.98976,28.66358,
14.90, 1.49, 25.00,-0.08096, 0.02690, 0.03494, -0.99574,29.00748,
14.90, 1.49, 25.02,-0.07168, 0.04047, 0.03473, -0.99600,29.35191,
14.90, 1.49, 25.03,-0.07443, 0.03890, 0.04010, -0.99566,29.69545,
14.91, 1.49, 25.04,-0.08077, 0.03879, 0.04335, -0.99503,30.04,
14.91, 1.48, 25.04,-0.08381, 0.04407, 0.04045, -0.99469,30.38453,
