PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
16.40, 0.87, 20.34,0.06674, -0.11213, 0.01551, -0.99133,
16.39, 0.88, 20.33,0.08976, -0.10910, -0.02494, -0.98966,
16.40, 0.91, 20.31,0.04626, -0.11100, -0.01271, -0.99266,
