PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
13.63, 0.83, 30.07,-0.01862, 0.99785, 0.02667, -0.05687,18.64058,
13.63, 0.83, 30.07,-0.01853, 0.99785, 0.02648, -0.05699,18.98727,
13.63, 0.83, 30.07,-0.01850, 0.99785, 0.02649, -0.05701,19.3316,
13.63, 0.83, 30.07,-0.01846, 0.99786, 0.02662, -0.05685,19.67578,
13.63, 0.83, 30.07,-0.01858, 0.99784, 0.02669, -0.05708,20.01977,
13.63, 0.83, 30.07,-0.01851, 0.99785, 0.02669, -0.05694,20.36486,
13.63, 0.83, 30.08,-0.01942, 0.99740, 0.03434, -0.06029,20.70902,
13.63, 0.83, 30.08,-0.01519, 0.99742, 0.02925, -0.06371,21.05281,
13.63, 0.87, 30.06,0.02775, 0.99889, 0.01766, -0.03380,21.39728,
13.63, 0.92, 30.05,0.10134, 0.99416, -0.00610, -0.03657,21.74163,
13.62, 0.97, 30.03,0.25756, 0.96485, -0.04766, 0.02142,22.08465,
13.54, 1.11, 29.95,0.42098, 0.84356, -0.27151, -0.19355,22.43053,
13.54, 1.17, 29.84,0.41687, 0.82068, -0.32011, -0.22413,22.77382,
13.55, 1.17, 29.66,0.33696, 0.72200, -0.39406, -0.45814,23.11832,
13.76, 1.15, 29.50,0.15706, 0.55790, -0.41582, -0.70084,23.46227,
14.10, 1.16, 29.20,-0.06569, 0.47444, -0.21359, -0.85145,23.80703,
14.31, 1.12, 28.88,-0.08068, 0.37497, -0.03220, -0.92296,24.15123,
14.49, 1.05, 28.61,-0.13844, 0.28083, 0.03745, -0.94898,24.4959,
14.72, 1.06, 28.41,-0.08351, 0.25862, 0.05524, -0.96078,24.83981,
14.92, 1.09, 28.10,-0.13904, 0.33414, -0.04310, -0.93122,25.1841,
14.97, 1.14, 27.68,-0.13919, 0.29017, 0.02559, -0.94645,25.52874,
14.96, 1.16, 27.11,-0.06717, 0.10355, 0.04156, -0.99148,26.57855,
15.02, 1.50, 24.87,-0.37603, 0.02393, -0.07835, -0.92298,27.21268,
14.94, 1.54, 24.65,-0.39514, 0.00837, -0.09688, -0.91346,27.68639,
14.42, 0.97, 26.17,-0.23979, 0.29833, 0.06585, -0.92150,28.0382,
14.23, 0.23, 28.25,-0.18592, 0.31130, 0.08235, -0.92830,28.38737,
14.74, -0.77, 30.97,-0.19594, 0.35161, 0.05426, -0.91380,28.76551,
15.93, -1.85, 33.88,-0.30480, 0.44757, 0.02500, -0.84033,29.11536,
16.55, -2.32, 35.09,-0.39350, 0.45897, 0.02828, -0.79605,29.45955,
16.55, -2.32, 35.09,-0.39350, 0.45897, 0.02828, -0.79605,29.80355,
16.55, -2.32, 35.09,-0.39350, 0.45897, 0.02828, -0.79605,30.14783,
16.55, -2.32, 35.09,-0.39350, 0.45897, 0.02828, -0.79605,30.49226,
16.55, -2.32, 35.09,-0.39350, 0.45897, 0.02828, -0.79605,30.83635,
16.55, -2.32, 35.09,-0.39350, 0.45897, 0.02828, -0.79605,31.18033,
16.55, -2.32, 35.09,-0.39350, 0.45897, 0.02828, -0.79605,31.52573,
14.81, 1.51, 24.96,-0.51448, 0.05225, 0.01804, -0.85572,31.86952,
14.82, 1.59, 24.86,-0.47810, 0.01892, 0.06387, -0.87578,32.21543,
14.83, 1.59, 24.84,-0.38491, 0.01315, 0.04223, -0.92189,32.55811,
14.80, 1.59, 24.82,-0.31006, 0.00934, 0.03443, -0.95005,32.90273,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,33.24601,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,33.60778,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,33.99803,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,34.34363,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,34.69066,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,35.02898,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,35.3806,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,35.72168,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,36.068,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,36.44063,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,36.78818,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,37.13938,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,37.48752,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,37.83418,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,38.17802,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,38.56137,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,38.90748,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,39.25538,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,39.62334,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,39.95051,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,40.29912,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,40.64927,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,40.98234,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,41.33049,
14.81, 1.60, 24.82,-0.25146, 0.01867, 0.00770, -0.96766,41.6716,
14.82, -1.11, 29.94,-0.02275, -0.78728, -0.01050, -0.61609,42.02029,
14.78, 1.62, 24.75,-0.00585, 0.02731, -0.02236, -0.99936,42.36512,
14.78, 1.62, 24.75,-0.00589, 0.02101, -0.02169, -0.99953,42.70884,
14.78, 1.62, 24.75,-0.00491, 0.01833, -0.02248, -0.99957,43.05256,
14.78, 1.62, 24.75,-0.03942, 0.10078, 0.03386, -0.99355,43.39866,
14.78, 1.61, 24.76,-0.04745, 0.07605, 0.01975, -0.99578,43.74268,
14.77, 1.62, 24.75,-0.03437, 0.07503, 0.01043, -0.99653,44.08645,
14.76, 1.62, 24.74,-0.02253, 0.08061, 0.00117, -0.99649,44.43078,
14.75, 1.63, 24.73,0.00435, 0.07578, -0.03979, -0.99632,44.83907,
14.75, 1.63, 24.73,-0.00130, 0.07812, -0.02276, -0.99668,45.1715,
14.76, 1.62, 24.73,-0.00632, 0.07101, -0.01443, -0.99735,45.5695,
14.77, 1.62, 24.74,-0.01560, 0.09031, 0.01259, -0.99571,45.92283,
14.78, 1.62, 24.75,-0.02516, 0.10109, 0.02678, -0.99420,46.31654,
14.78, 1.62, 24.75,-0.02977, 0.10394, 0.02305, -0.99387,46.66398,
14.78, 1.62, 24.75,-0.02639, 0.09871, 0.02611, -0.99442,47.00718,
14.78, 1.62, 24.74,-0.02869, 0.07644, 0.01910, -0.99648,47.35166,
14.78, 1.62, 24.74,-0.02160, 0.05872, 0.00309, -0.99804,47.69534,
14.77, 1.62, 24.74,-0.02741, 0.06062, 0.01430, -0.99768,48.04036,
14.77, 1.62, 24.74,-0.03377, 0.04724, 0.00472, -0.99830,48.38509,
14.77, 1.61, 24.75,-0.05727, 0.01575, -0.01539, -0.99812,48.72866,
14.76, 1.61, 24.75,-0.06627, 0.02894, -0.02453, -0.99708,49.0732,
14.76, 1.61, 24.75,-0.07325, 0.01009, -0.01798, -0.99710,49.41724,
14.76, 1.61, 24.74,-0.08241, 0.00125, -0.01971, -0.99640,49.76169,
14.76, 1.61, 24.74,-0.05364, 0.00319, -0.00708, -0.99853,50.14662,
14.77, 1.61, 24.75,-0.05717, -0.03588, -0.03984, -0.99692,50.49469,
14.77, 1.61, 24.76,-0.06995, -0.00218, -0.01767, -0.99739,50.83883,
14.77, 1.61, 24.77,-0.06908, -0.00423, -0.02022, -0.99740,51.18382,
14.77, 1.62, 24.76,-0.04371, -0.02055, -0.01076, -0.99878,51.52754,
14.78, 1.63, 24.76,-0.00295, -0.00333, -0.03280, -0.99945,51.87148,
14.80, 1.63, 24.76,-0.00570, -0.01048, 0.02099, -0.99971,52.216,
14.80, 1.63, 24.76,-0.02187, 0.00460, 0.00536, -0.99974,52.56053,
14.81, 1.63, 24.75,-0.01101, -0.03399, -0.00215, -0.99936,52.90441,
14.81, 1.63, 24.75,-0.01487, -0.00752, -0.00070, -0.99986,53.24888,
14.80, 1.63, 24.75,-0.01623, 0.00679, 0.01029, -0.99979,53.59221,
14.79, 1.63, 24.75,-0.00082, 0.01657, 0.00482, -0.99985,53.93722,
14.78, 1.62, 24.74,-0.01899, 0.03578, -0.00407, -0.99917,54.28146,
14.79, 1.61, 24.75,-0.05960, 0.04094, 0.00214, -0.99738,54.62548,
14.79, 1.61, 24.76,-0.09171, 0.04137, 0.01315, -0.99484,54.96903,
14.79, 1.61, 24.75,-0.09436, 0.04508, 0.00718, -0.99449,55.31374,
14.79, 1.61, 24.74,-0.08714, 0.03627, 0.00382, -0.99553,55.65774,
14.79, 1.61, 24.74,-0.08570, 0.04208, 0.00055, -0.99543,56.00204,
14.78, 1.60, 24.75,-0.11643, 0.06546, -0.00725, -0.99101,56.34638,
14.78, 1.60, 24.75,-0.13558, 0.07444, -0.00593, -0.98795,56.6903,
14.78, 1.60, 24.74,-0.14168, 0.06340, -0.00021, -0.98788,57.03475,
14.78, 1.59, 24.74,-0.17613, 0.06273, -0.00133, -0.98237,57.37913,
14.77, 1.60, 24.76,-0.13060, 0.07792, -0.01981, -0.98817,57.72303,
14.78, 1.61, 24.76,-0.07240, 0.07204, -0.01871, -0.99459,58.06792,
14.80, 1.62, 24.75,-0.02622, 0.03368, 0.00767, -0.99906,58.41281,
14.81, 1.63, 24.77,0.01661, -0.00265, -0.01358, -0.99977,58.75771,
14.81, 1.63, 24.78,-0.00254, 0.01010, -0.00319, -0.99994,59.10131,
14.80, 1.61, 24.79,-0.10496, 0.05849, -0.01570, -0.99263,59.44523,
14.80, 1.60, 24.79,-0.14157, 0.05690, -0.00965, -0.98825,59.78899,
14.81, 1.59, 24.79,-0.16309, 0.02669, -0.00580, -0.98623,60.13377,
14.82, 1.60, 24.79,-0.11870, 0.02329, 0.01745, -0.99250,60.47712,
