PosX,PosY,PosZ,Q1,Q2,Q3,Q4,
13.38, 0.72, 30.49,0.00075, 0.99847, 0.04873, -0.02596,10.80438,
13.38, 0.72, 30.49,0.00075, 0.99847, 0.04890, -0.02590,11.15281,
13.38, 0.72, 30.49,0.00091, 0.99847, 0.04898, -0.02578,11.49759,
13.38, 0.72, 30.49,0.00077, 0.99847, 0.04893, -0.02575,11.84188,
13.38, 0.72, 30.50,0.00136, 0.99848, 0.04863, -0.02578,12.1862,
13.38, 0.72, 30.49,0.00064, 0.99848, 0.04872, -0.02570,12.53142,
13.38, 0.72, 30.49,0.00190, 0.99850, 0.04809, -0.02597,12.87523,
13.38, 0.72, 30.49,0.00322, 0.99860, 0.04578, -0.02630,13.21893,
13.38, 0.72, 30.48,0.01482, 0.99947, 0.02894, 0.00199,13.5631,
13.37, 0.72, 30.49,0.00027, 0.99933, -0.03078, 0.01973,13.90799,
13.38, 0.76, 30.47,-0.02621, 0.99896, -0.02589, 0.02689,14.25158,
13.37, 0.77, 30.47,-0.02860, 0.99774, -0.05094, 0.03308,14.63524,
13.37, 0.82, 30.44,-0.02580, 0.99532, -0.09117, 0.01914,14.98421,
13.37, 0.89, 30.38,-0.03116, 0.99276, -0.09645, 0.06448,15.32889,
13.35, 1.00, 30.28,-0.03774, 0.98957, -0.13899, 0.00262,15.67305,
13.35, 1.02, 30.07,-0.00962, 0.96787, -0.14995, -0.20160,16.01405,
13.42, 0.95, 29.71,-0.00462, 0.90371, -0.15400, -0.39945,16.36049,
13.47, 0.88, 29.24,-0.09863, 0.77917, -0.06077, -0.61602,16.70626,
13.55, 0.82, 28.88,-0.03931, 0.70176, -0.07996, -0.70682,17.05047,
13.69, 0.79, 28.49,-0.06503, 0.58192, -0.06573, -0.80797,17.39476,
13.84, 0.81, 28.06,-0.10143, 0.43926, -0.06769, -0.89005,17.73817,
13.98, 0.86, 27.64,-0.11704, 0.37509, -0.05790, -0.91775,18.08343,
14.15, 0.88, 27.22,-0.12273, 0.35620, -0.06435, -0.92408,18.42794,
14.32, 0.92, 26.82,-0.17641, 0.28967, -0.06119, -0.93874,18.78023,
14.42, 0.88, 26.53,-0.14262, 0.36820, -0.06007, -0.91678,19.13255,
14.50, 0.89, 26.33,-0.12628, 0.44320, -0.07166, -0.88459,19.48204,
14.60, 0.87, 26.19,-0.15684, 0.39262, -0.06539, -0.90387,19.82748,
14.71, 0.86, 26.05,-0.19230, 0.27677, -0.09412, -0.93678,20.4567,
14.73, 0.82, 25.97,-0.19955, 0.29158, -0.13215, -0.92612,20.80857,
14.74, 0.79, 25.94,-0.19320, 0.19328, -0.12824, -0.95335,21.1595,
14.79, 0.79, 25.95,-0.15062, 0.08687, -0.14273, -0.97437,22.88808,
14.79, 0.79, 25.95,-0.15062, 0.08687, -0.14273, -0.97437,23.24166,
14.72, 1.00, 25.69,-0.17774, 0.11012, -0.07953, -0.97466,23.59211,
14.73, 1.09, 25.60,-0.31690, 0.11479, -0.06828, -0.93901,24.11905,
14.76, 1.20, 25.51,-0.37980, 0.07053, -0.08209, -0.91872,24.49486,
14.78, 1.27, 25.45,-0.36502, 0.02532, -0.10493, -0.92472,24.84628,
14.81, 1.35, 25.38,-0.31858, -0.00706, -0.11855, -0.94043,25.20015,
14.83, 1.44, 25.32,-0.23504, -0.03129, -0.14244, -0.96098,25.54628,
14.83, 1.47, 25.27,-0.11512, -0.02776, -0.10817, -0.98705,25.89046,
14.84, 1.46, 25.26,-0.04957, -0.00949, -0.07364, -0.99601,26.23495,
14.83, 1.45, 25.24,-0.04816, -0.03973, -0.02783, -0.99766,26.5794,
14.84, 1.46, 25.23,-0.03738, -0.04786, -0.03843, -0.99741,26.92342,
